,2025/10/23,,,,,,,,,,,,,,,,,,
,제 4회 라오스 대사배 야구대회,,,,,,,,,,,,,,,,,,
,Nuol Miracle vs Fayston,,,,,,,,,,,,,,,,,,
,,,,안타,,,,,,,,,,,,,,,
,이름,타수,득점,계,2루타,3루타,홈런,루타수,타점,도루,도루실패,희타,희비,4구,고의4구,사구,삼진,병살타,잔루
,권영준,3,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0
,이민준,2,1,1,0,0,1,4,2,0,0,0,1,0,0,0,1,0,0
,오승원,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
,박수현,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1
,신예준,3,1,2,1,0,0,3,0,1,1,0,0,0,0,0,1,0,0
,정규민,3,1,2,1,0,0,2,1,1,0,0,0,0,0,0,2,0,0
,원용찬,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
,정하람,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
,오준서,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,황시목,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
,강태우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
